자치구_ID,자치구_명칭,대여_건수,반납_건수
11010,종로구,4220,4114
11020,중구,2929,2729
11030,용산구,4168,4149
11040,성동구,6703,6647
11050,광진구,9179,9228
11060,동대문구,5007,5145
11070,중랑구,4724,4749
11080,성북구,3720,3632
11090,강북구,2205,2129
11100,도봉구,3785,3836
11110,노원구,10664,10485
11120,은평구,4239,4205
11130,서대문구,3159,3025
11140,마포구,9144,9202
11150,양천구,10202,10121
11160,강서구,16558,16409
11170,구로구,6206,6146
11180,금천구,2027,1986
11190,영등포구,13279,13483
11200,동작구,3293,3347
11210,관악구,3656,3528
11220,서초구,5009,5264
11230,강남구,5430,5210
11240,송파구,16089,16180
11250,강동구,6950,6995
11010,종로구,3594,3456
11020,중구,2406,2298
11030,용산구,3946,4020
11040,성동구,6244,6127
11050,광진구,8140,8258
11060,동대문구,4911,4919
11070,중랑구,4395,4433
11080,성북구,3354,3318
11090,강북구,2034,1969
11100,도봉구,3594,3588
11110,노원구,9826,9706
11120,은평구,3785,3820
11130,서대문구,3076,2954
11140,마포구,8654,8617
11150,양천구,8802,8740
11160,강서구,14550,14461
11170,구로구,5593,5536
11180,금천구,1894,1899
11190,영등포구,12539,12599
11200,동작구,3227,3319
11210,관악구,3536,3444
11220,서초구,4771,4998
11230,강남구,5070,4950
11240,송파구,15283,15309
11250,강동구,6789,6842
11010,종로구,5483,5159
11020,중구,3909,3679
11030,용산구,3602,3552
11040,성동구,7296,7317
11050,광진구,8473,8367
11060,동대문구,5884,6071
11070,중랑구,5188,5338
11080,성북구,3965,4108
11090,강북구,2355,2338
11100,도봉구,4005,4068
11110,노원구,11287,11282
11120,은평구,4401,4505
11130,서대문구,3298,3204
11140,마포구,8217,8274
11150,양천구,10595,10711
11160,강서구,21887,21932
11170,구로구,7690,7773
11180,금천구,3641,3604
11190,영등포구,15715,15285
11200,동작구,3400,3463
11210,관악구,3791,3824
11220,서초구,5920,5784
11230,강남구,6828,6329
11240,송파구,16965,17069
11250,강동구,7958,8086
11010,종로구,5923,5585
11020,중구,4328,4109
11030,용산구,3595,3624
11040,성동구,7895,7954
11050,광진구,9102,8952
11060,동대문구,6281,6495
11070,중랑구,5261,5319
11080,성북구,4227,4288
11090,강북구,2406,2382
11100,도봉구,4141,4142
11110,노원구,11670,11752
11120,은평구,4396,4588
11130,서대문구,3478,3344
11140,마포구,8760,8725
11150,양천구,10806,10920
11160,강서구,22864,22815
11170,구로구,7711,7729
11180,금천구,3490,3479
11190,영등포구,15866,15617
11200,동작구,3455,3523
11210,관악구,3814,3819
11220,서초구,6022,5909
11230,강남구,6847,6517
11240,송파구,17328,17368
11250,강동구,8285,8401
